ISSN,Volume_Start,Year_Start,Volume_End,Year_End,Issue_Start,Issue_End,Supplement,Signature,Annotation
0570-1422,7,1961,14,1969,,,No,,"dijeli se u serije: C1, C2, C3"
0570-1422,15,1971,,,,,No,,"dijeli se u serije: C1, C2, C3"
0570-1422,16,1972,18,1974,,,No,,"dijeli se u serije: C1, C2, C3"
0570-1422,,,,,1,,No,,"dijeli se u serije: C1, C2, C3"
0253-1216,19,1976,31,1984,,,No,,
0253-2190,19,1975,32,1985,,,No,,
0253-2204,19,1975,32,1985,,,No,,
0010-3616,1,1965,81,1981,,,No,,
0010-3616,87,1982,134,1990,,,No,,
0010-3616,155,1993,,,,,No,,
0010-3616,156,1993,163,1994,,,No,,
0010-3616,164,1994,170,1995,,,No,,
0010-3616,174,1995,,,,,No,,
0010-3616,175,1996,234,2003,,,No,,
0010-3616,235,2003,255,2005,,,No,,
1096-4940,14,1965,37,1970,,,No,,od vol. 38 (1971) izlazi kao: |Comparative Biochemistry and Physiology A: Physiology ()  i |Comparative Biochemistry and Physiology B: Comparative Biochemistry (ISSN 0305-0491)|*od vol. 50 (1975) izlazi i : |Comparative Biochemistry and Physiology C: Comparative Pharmacology and Toxicology  (ISSN 0742 -8413)
,1,1976,3,1977,,,No,05.21/55,
,1,1969,7,1972,,,No,04.21/114,
,15,1976,,,,,No,04.21/114,
,1,1980,5,1983,,,No,04.31/1,
,7,1983,,,,,No,04.31/1,
,10,1985,,,,,No,04.31/1,
0001-4036,232,1951,261,1965,,,No,,"od vol. 262 (1966) izlazi u serijama: A-B, A, B, C, D, Série Via académique, S|Série A-B: Sciences mathématiques - Sciences physique |ISSN|262 A-B (1966) – 277 A-B (1973)|280 A-B (1975) – 291 A-B (1980)|Série A: Sciences mathématiques|ISSN 0366-6034|278 A (1974) – 279 A (1974)|Série B: Sciences physiques|ISSN 0366-6077|278 B (1974) – 279 B (1974)|Série C: Sciences chimiques|ISSN 0567-6541|262 C (1966) – 291 C (1980)|Série D: Sciences naturelles|ISSN O567-655X|262 D (1966) – 291 D (1980)|Série Vie académique: Suppl. aux ser. A+B,C,D|ISSN 0249-6321|278 (1974) – 291 (1980)|Série 1: Mathematique|ISSN |292 (1981) – 293 (1981)|Série 2: Mécanique-physique-chimie|ISSN 0750-7623|292 (1981) – 293 (1981)|Série 3: Sciences de la vie|ISSN 0249-6313|292 (1981) – 293 (1981)"
0489-4820,26,1960,38,1972,,,No,,
0037-9026,157,1963,159,1965,,,No,,
0037-9026,161,1967,167,1973,,,No,,
0037-9026,168,1974,,,,,No,,
0037-9026,,,,,1,,No,,
,7,1967,8,1968,,,No,,od vol. 9 (1970) izlazi kao: Computer Characteristics Review
,1,1967,,,,,No,,od vol. 3 (1970) no. 5 izlazi kao: Computer
,3,1970,,,,,No,,od vol. 3 (1970) no. 5 izlazi kao: Computer
,,,,,1,2,No,,od vol. 3 (1970) no. 5 izlazi kao: Computer
,,,,,1,4,No,,od vol. 3 (1970) no. 5 izlazi kao: Computer
0010-4655,1,1969,25,1982,,,No,,
0010-4655,28,1982,34,1985,,,No,,
0010-4655,36,1985,60,1990,,,No,,
0010-4655,61,1990,92,1995,,,No,,
0010-4655,93,1996,99,1997,,,No,,
0010-4655,100,1997,116,1999,,,No,,
0010-4655,124,2000,128,2000,,,No,,
0010-4655,130,2001,157,2004,,,No,,
0010-4655,,,,,1,,No,,
0010-4655,,,,,1,,No,,
0010-4655,,,,,1,,No,,
0010-4655,,,,,1,2,No,,
1041-7915,18,1998,,,,,No,,
1041-7915,19,1999,,,,,No,,
1041-7915,20,2000,21,2001,,,No,,
1041-7915,23,2003,25,2005,,,No,,
1041-7915,,,,,1,2,No,,
1041-7915,,,,,1,,No,,
0894-1866,12,1998,,,,,No,,od 1999. spaja se s IEEE Computational Science and Engineering u: Computing in Science and Engineering (ISSN 1521-9615)
0278-4343,8,1988,9,1989,,,No,,
0278-4343,10,1990,24,2004,,,No,,
,,,,,1,6,No,,
,4,1961,8,1965,,,No,,
,34,1940,,,,,No,,
,12,1915,19,1927,,,No,,
0082-3449,12,1967,14,1969,,,No,,
0082-3449,18,1974,35,1991,,,No,,
,12,1975,,,,,No,,
0080-8326,13,1954,41,1971,,,No,,
0080-8326,43,1973,,,,,No,,
,12,1969,24,1981,,,No,,
0010-8049,2,1955,9,1962,,,No,,
0010-8049,10,1963,11,1964,,,No,,
0010-8049,12,1965,20,1973,,,No,,
0010-8049,21,1974,,,,,No,,
0010-8049,22,1975,23,1976,,,No,,
0010-8049,24,1977,,,,,No,,
0010-8049,25,1978,,,,,No,,
0010-8049,26,1979,,,,,No,,
0010-8049,27,1980,,,,,No,,
0010-8049,28,1981,,,,,No,,
0010-8049,29,1982,,,,,No,,
0010-8049,,,,,1,,No,,
0010-8049,,,,,1,5,No,,
0010-8049,,,,,1,8,No,,
0010-8049,,,,,1,6,No,,
0010-8049,,,,,1,,No,,
0010-8049,,,,,1,6,No,,
0010-8049,,,,,1,4,No,,
0010-8049,,,,,1,6,No,,
,1113,1963,1227,1970,,,No,,
0353-9504,33,1992,,,,,No,,
0353-9504,34,1993,,,,,No,,
0353-9504,37,1996,,,,,No,,
0353-9504,39,1998,,,,,No,,
0353-9504,40,1999,,,,,No,,
0353-9504,41,2000,,,,,No,,
0353-9504,42,2001,,,,,No,,
0353-9504,,,,,1,,No,,
0011-216X,5,1963,41,1981,,,No,,
0011-216X,52,1987,67,1994,,,No,,
0011-216X,68,1995,72,1999,,,No,,
0011-216X,73,2000,77,2004,,,No,,
0011-216X,,,,,1,,No,,
0302-1742,3,1974,10,1981,,,No,,
0960-9822,9,1999,,,,,No,,
0960-9822,10,2000,,,,,No,,
0960-9822,11,2001,12,2002,,,No,,
0960-9822,14,2004,15,2005,,,No,,
0960-9822,16,2006,,,,,No,,
0960-9822,17,2007,23,2013,,,No,,
0960-9822,24,2014,,,,,No,,
0960-9822,,,,,1,4,No,,
0960-9822,,,,,1,3,No,,
0960-9822,,,,,1,3,No,,
0960-9822,,,,,1,,No,,
0900-0508,21,1990,,,,,No,,
0900-0508,24,1993,,,,,No,,
0900-0508,25,1994,,,,,No,,
0900-0508,26,1995,,,,,No,,
0900-0508,27,1996,,,,,No,,
0900-0508,,,,,1,4,No,,
0900-0508,,,,,1,,No,,
0900-0508,,,,,1,4,No,,
0900-0508,,,,,1,52,No,,
0900-0508,,,,,1,53,No,,
0095-7971,11,1980,,,,,No,,
0095-7971,14,1983,,,,,No,,
0095-7971,15,1984,,,,,No,,
0095-7971,17,1986,,,,,No,,
0095-7971,18,1987,19,1988,,,No,,
0095-7971,20,1989,,,,,No,,
0095-7971,21,1990,,,,,No,,
0095-7971,22,1991,,,,,No,,
0095-7971,24,1993,25,1994,,,No,,
0095-7971,26,1995,,,,,No,,
0095-7971,27,1996,,,,,No,,
0095-7971,,,,,1,4,No,,
0095-7971,,,,,1,43,No,,
0095-7971,,,,,1,4,No,,
0095-7971,,,,,1,18,No,,
0095-7971,,,,,1,52,No,,
0095-7971,,,,,1,39,No,,
0095-7971,,,,,1,13,No,,
0095-7971,,,,,1,4,No,,
0095-7971,,,,,1,2,No,,
0095-7971,,,,,1,19,No,,
0095-7971,,,,,1,53,No,,
0011-3409,33,1990,,,,,No,,
0011-3409,34,1991,35,1992,,,No,,
0011-3409,37,1994,40,1997,,,No,,
0011-3409,,,,,1,21,No,,
0011-3409,,,,,1,4,No,,
0163-2574,26,1986,,,,,No,,
0163-2574,27,1987,,,,,No,,
0163-2574,28,1988,29,1989,,,No,,
0163-2574,30,1990,,,,,No,,
0163-2574,31,1991,,,,,No,,
0163-2574,33,1993,,,,,No,,
0163-2574,34,1994,,,,,No,,
0163-2574,35,1995,37,1997,,,No,,
0163-2574,,,,,1,30,No,,
0163-2574,,,,,1,34,No,,
0163-2574,,,,,1,52,No,,
0163-2574,,,,,1,16,No,,
0163-2574,,,,,1,4,No,,
0163-2574,,,,,1,52,No,,
0163-2574,,,,,1,28,No,,
0172-8083,29,1996,36,1999,,,No,,
0172-8083,39,2001,47,2005,,,No,,
0172-8083,,,,,1,3,No,,
0343-8651,32,1996,39,1999,,,No,,
0011-3964,5,1969,,,,,No,,
0011-3964,7,1970,12,1978,,,No,,
0528-9173,3,1954,,,,,No,,od 1955. izlazi kao: Folia biologica
0106-553X,1,1980,10,1994,,,No,,
0011-6963,40,1994,,,,,No,,
0011-6963,41,1995,,,,,No,,
0011-6963,42,1996,,,,,No,,
0011-6963,43,1997,,,,,No,,
0011-6963,,,,,1,,No,,
0011-6963,,,,,1,4,No,,
0011-6963,,,,,1,3,No,,
0967-0637,40,1993,43,1996,,,No,,
0967-0637,44,1997,,,,,No,,
0967-0637,45,1998,52,2005,,,No,,
0967-0637,,,,,1,,No,,
0967-0637,,,,,1,2,No,,
0967-0645,40,1993,42,1995,,,No,,
0967-0645,43,1996,44,1997,,,No,,
0967-0645,45,1998,52,2005,,,No,,
0967-0645,,,,,1,2,No,,
,12,1982,15,1985,,,No,,
,17,1987,,,,,No,,
,20,1954,,,,,No,,
,3,1958,7,1962,,,No,,
0012-0111,34,1961,37,1964,,,No,,
0012-0111,40,1967,41,1968,,,No,,
0351-0042,19,1990,,,,,No,,
0351-0042,22,1993,,,,,No,,
0351-0042,23,1994,31,2002,,,No,,
0351-0042,32,2003,,,,,No,,
0351-0042,33,2004,44,2014,,,No,,
0351-0042,45,2016,,,,,No,,
0351-0042,,,,,1,2,No,,
0351-0042,,,,,1,,No,,
0177-5103,2,1987,,,,,No,,
0177-5103,3,1987,,,,,No,,
0177-5103,4,1988,,,,,No,,
0177-5103,5,1988,,,,,No,,
0177-5103,6,1989,15,1993,,,No,,
0177-5103,16,1993,68,2006,,,No,,
0177-5103,,,,,1,,No,,
0177-5103,,,,,1,,No,,
0366-9033,1,1947,52,1972,,,No,,od vol. 53 (1972) izlazi kao: Faraday Discussions of the Chemical Society
0366-9033,,,,,1,,No,,od vol. 53 (1972) izlazi kao: Faraday Discussions of the Chemical Society
0419-4217,20,1960,,,,,No,,"od vol. 27 (1966/67) izlazi u dva dijela : 	A: Hum. and Soc. Sciences  i |						B: Phys. Sci. and Engineer.|27A,B (1966/67) |28B (1967/68) No. 1-10,...,12|29B (1968/69) – 39B (1978) No. 1-7, 			|* od vol. 39B (1978) 8  izlazi na mikrofiševima|39(1979) No. ,8-12|40 (1979/80) – 42 (1981/82) No. 1-8,|43 (1983) No. ...,7-12|44 (1983/84) – 50 (1989/90) No. 1-9,|51 (1990/91) No. ...,7-12|52 (1991/92) – 55 (1995) No. ...,7-12|56 (1995/96) - 57 (1996) No. 1-6,"
0869-5652,70,1950,71,1950,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,72,1950,,,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,76,1951,81,1951,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,83,1952,261,1981,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,263,1982,267,1982,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,270,1983,310,1990,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,311,1990,315,1990,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,317,1991,,,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,318,1991,321,1990,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,335,1994,336,1994,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,337,1994,,,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,338,1994,339,1994,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,341,1995,345,1995,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,346,1996,363,1998,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0869-5652,370,2000,381,2001,,,No,,"od 2002. godine: Doklady Physics: english edition of Doklady akademii nauk SSSR, (ISSN 1028-3358)"
0092-8615,32,1998,33,1999,,,No,,
0092-8615,34,2000,,,,,No,,
0092-8615,,,,,1,,No,,
0092-8615,,,,,1,3,No,,
0377-0265,25,1997,39,2005,,,No,,
0377-0265,,,,,1,2,No,,
0304-3800,4,1979,,,,,No,,
0304-3800,50,1990,92,1996,,,No,,
0304-3800,93,1996,137,2001,,,No,,
0304-3800,138,2001,142,2001,,,No,,
0304-3800,143,2001,171,2004,,,No,,
0304-3800,,,,,1,,No,,
0371-0548,23,1994,,,,,No,,
0012-9658,44,1963,46,1965,,,No,,
0012-9658,48,1967,55,1974,,,No,,
0012-9658,57,1976,62,1981,,,No,,
0012-9658,69,1988,70,1989,,,No,,
0012-9658,71,1990,75,1994,,,No,,
0012-9658,76,1995,78,1997,,,No,,
0012-9658,80,1999,86,2005,,,No,,
0012-9658,,,,,1,5,No,,
0012-9658,,,,,1,,No,,
0147-6513,1,1977,,,,,No,,
0147-6513,3,1979,5,1981,,,No,,
,2,1974,18,1990,,,No,,
0204-7675,1,1975,3,1977,,,No,,
0204-7675,5,1979,7,1981,,,No,,
0203-4646,1,1980,72,2006,,,No,,
0370-8152,49,1946,68,1965,,,No,,od vol. 69 (1966) izlazi kao: Electrical & Electronics Abstracts
1040-0397,1,1989,,,,,No,,
1040-0397,2,1990,,,,,No,,
1040-0397,3,1991,22,2010,,,No,,
1040-0397,23,2012,24,2013,,,No,,
1040-0397,,,,,1,,No,,
0070-9778,1,1966,3,1969,,,No,04.23/55,
0070-9778,5,1971,6,1973,,,No,04.23/55,
1099-0062,7,2004,9,2006,,,No,,
1099-0062,10,2007,15,2012,,,No,,
1099-0062,,,,,1,2,No,,
0424-8090,1,1963,5,1967,,,No,,
0424-8090,6,1968,,,,,No,,
0424-8090,,,,,1,2,No,,
1388-2481,1,1999,,,,,No,,
1388-2481,,,,,1,5,No,,
0013-4686,3,1960,34,1989,,,No,,
0013-4686,35,1990,51,2006,,,No,,
0424-8570,1,1965,,,,,No,,
0424-8570,2,1966,18,1982,,,No,,
0424-8570,19,1983,,,,,No,,
0424-8570,20,1984,27,1991,,,No,,
0424-8570,29,1993,,,,,No,,
0424-8570,30,1994,32,1996,,,No,,
0013-4872,22,1974,,,,,No,,
0013-4872,23,1975,25,1977,,,No,,
0013-4872,26,1978,29,1981,,,No,,
0013-4872,36,1988,,,,,No,,
0013-4872,37,1989,,,,,No,,
0013-4872,,,,,1,14,No,,
0013-4872,,,,,1,4,No,,
0013-4902,18,1946,54,1982,,,No,,
0013-4902,56,1984,,,,,No,,
0013-4902,57,1985,,,,,No,,
0013-4902,58,1986,62,1990,,,No,,
0013-4902,64,1992,66,1994,,,No,,
0013-4902,67,1995,,,,,No,,
0013-4902,68,1996,,,,,No,,
0013-4902,69,1997,,,,,No,,
0013-4902,,,,,697,698,No,,
0013-4902,,,,,805,,No,,
0013-4902,,,,,817,,No,,
0013-4902,,,,,841,843,No,,
0264-0473,12,1994,23,2005,,,No,,
0013-5070,25,1952,,,,,No,,
0013-5070,26,1953,33,1960,,,No,,
0013-5070,34,1961,,,,,No,,
0013-5070,35,1962,,,,,No,,
0013-5070,36,1963,39,1966,,,No,,
0013-5070,40,1967,56,1983,,,No,,
0013-5070,,,,,1,13,No,,
0013-5070,,,,,1,10,No,,
0013-5070,,,,,1,9,No,,
0013-5070,,,,,1,9,No,,
0013-5828,8,1954,26,1974,,,No,,
0013-5844,1,1958,8,1965,,,No,,
0013-5844,9,1966,21,1977,,,No,,
0013-5844,22,1979,23,1979,,,No,,
0013-5844,24,1981,25,1982,,,No,,
0013-5844,26,1983,27,1984,,,No,,
0013-5844,28,1985,32,1989,,,No,,
0013-5844,33,1990,38,1995,,,No,,
0013-5844,39,1996,,,,,No,,
0013-5844,,,,,1,4,No,,
0013-5844,,,,,1,2,No,,
0013-5844,,,,,1,5,No,,
0013-5844,,,,,1,2,No,,
0013-5844,,,,,1,,No,,
0013-5852,1,1947,,,,,No,,
0013-5852,17,1964,,,,,No,,
0013-5852,32,1965,41,1974,,,No,,
0013-5852,42,1975,43,1976,,,No,,
0013-5852,44,1977,47,1980,,,No,,
0013-5852,48,1981,,,,,No,,
0013-5852,49,1982,,,,,No,,
0013-5852,50,1983,,,,,No,,
0013-5852,51,1984,59,1992,,,No,,
0013-5852,,,,,1,2,No,,
0013-5852,,,,,1,5,No,,
0013-5852,,,,,1,4,No,,
0013-5852,,,,,1,2,No,,
0013-5852,,,,,1,5,No,,
0013-5852,,,,,1,4,No,,
,10,1958,,,,,No,,
,11,1959,12,1960,,,No,,
,29,1977,31,1979,,,No,,
,32,1980,,,,,No,,
,33,1981,42,1989,,,No,,
,,,,,1,2,No,,
0261-4189,1,1982,,,,,No,,
0261-4189,2,1983,8,1989,,,No,,
0261-4189,9,1990,24,2005,,,No,,
0261-4189,,,,,1,,No,,
0261-4189,,,,,1,,No,,
1469-221X,5,2004,,,,,No,,
1469-221X,,,,,1,11,No,,
1024-2430,6,2001,7,2002,,,No,,prestao izlaziti
,12,1991,18,1998,,,No,,
0160-9327,13,1954,33,1974,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,11,1952,,,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,14,1955,,,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,15,1956,16,1957,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,17,1958,,,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,18,1960,35,1976,,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0160-9327,,,,,65,,No,,"javlja se dvostruka numeracija|1(36) (1977) - 5(40) (1981)|6(41) (1982) No. 1,"
0013-7332,1,1951,27,1980,,,No,,
0013-7375,1,1956,2,1958,,,No,,od 1959. se spaja s Âge Nucléaire u: Energie. nucléaire et l’âge nucléaire réunies.
1330-9587,16,1996,17,1997,,,No,,
1330-9587,19,1999,,,,,No,,
1330-9587,21,2001,39,2019,,,No,,
1330-9587,40,2020,,,,,No,,
0376-8929,1,1974,8,1981,,,No,,
0091-6765,3,1973,6,1974,,,No,,
0091-6765,103,1995,,,,,No,,
0091-6765,104,1996,,,,,No,,
0091-6765,105,1997,,,,,No,,
0091-6765,106,1998,,,,,No,,
0091-6765,107,1999,,,,,No,,
0091-6765,108,2000,111,2003,,,No,,
0091-6765,112,2004,,,,,No,,
0091-6765,113,2005,,,,,No,,
0091-6765,114,2006,115,2007,,,No,,
0091-6765,116,2008,,,,,No,,
0091-6765,117,2009,,,,,No,,
0091-6765,118,2010,,,,,No,,
0091-6765,,,,,2,,No,,
0091-6765,,,,,1,,No,,
0091-6765,,,,,1,6,No,,
0091-6765,,,,,1,6,No,,
0091-6765,,,,,1,,No,,
0091-6765,,,,,1,11,No,,
0091-6765,,,,,5,,No,,
0091-6765,,,,,1,,No,,
0091-6765,,,,,1,8,No,,
1078-0475,103,1995,,,,,No,,
1078-0475,104,1996,,,,,No,,
1078-0475,105,1997,,,,,No,,
1078-0475,106,1998,,,,,No,,
1078-0475,107,1999,,,,,No,,
1078-0475,108,2000,,,,,No,,
1078-0475,,,,,1,,No,,
1078-0475,,,,,1,6,No,,
1078-0475,,,,,1,5,No,,
1078-0475,,,,,1,,No,,
1078-0475,,,,,2,4,No,,
1078-0475,,,,,1,,No,,
1462-2912,7,2005,,,,,No,,
1462-2912,8,2006,,,,,No,,
1462-2912,,,,,1,,No,,
0192-2521,8,1986,9,1987,,,No,,od vol. 10 (1987) izlazi kao: Environmental and Molecular Mutagenesis
0143-1471,33,1984,35,1984,,,No,,od 1987. godine izlazi kao:  Environmental Pollution
0143-1471,37,1985,42,1986,,,No,,od 1987. godine izlazi kao:  Environmental Pollution
0143-148X,7,1984,12,1986,,,No,,od 1987. godine izlazi kao:  Environmental Pollution
0300-824X,1,1972,5,1976,,,No,4E-37,
0013-936X,5,1971,12,1978,,,No,,
0013-936X,13,1979,18,1984,,,No,,
0013-936X,20,1986,,,,,No,,
0013-936X,24,1990,25,1991,,,No,,
0013-936X,26,1992,27,1993,,,No,,
0013-936X,28,1994,31,1997,,,No,,
0013-936X,32,1998,,,,,No,,
0013-936X,33,1999,37,2003,,,No,,
0013-936X,38,2004,,,,,No,,
0013-936X,41,2007,43,2009,,,No,,
0013-936X,,,,,1,6,No,,
0013-936X,,,,,1,10,No,,
0013-936X,,,,,1,5,No,,
0013-936X,,,,,1,22,No,,
0013-936X,,,,,1,6,No,,
0730-7268,5,1986,,,,,No,,
0730-7268,6,1987,13,1994,,,No,,
0730-7268,14,1995,,,,,No,,
0730-7268,15,1996,,,,,No,,
0730-7268,16,1997,,,,,No,,
0730-7268,17,1998,22,2003,,,No,,
0730-7268,23,2004,,,,,No,,
0730-7268,24,2005,,,,,No,,
0730-7268,25,2006,,,,,No,,
0730-7268,26,2007,,,,,No,,
0730-7268,27,2008,,,,,No,,
0730-7268,28,2009,,,,,No,,
0730-7268,,,,,1,8,No,,
0730-7268,,,,,1,,No,,
0730-7268,,,,,1,,No,,
0730-7268,,,,,1,2,No,,
0730-7268,,,,,1,4,No,,
0730-7268,,,,,1,2,No,,
0730-7268,,,,,1,2,No,,
0730-7268,,,,,1,,No,,
0730-7268,,,,,1,11,No,,
0141-0229,5,1983,11,1989,,,No,,
0141-0229,12,1990,29,2001,,,No,,
0141-0229,30,2002,,,,,No,,
0141-0229,31,2002,34,2004,,,No,,
0141-0229,,,,,1,7,No,,
0141-0229,,,,,1,,No,,
,1,1970,7,1972,,,No,05.33/27,
0367-0325,21,1945,37,1965,,,No,,od vol. 38 (1965) izlazi kao: Springer Tracts in Modern Physics
,5,1911,,,,,No,,
,1,1965,17,1981,,,No,05.31/3,
0160-8347,1,1978,2,1979,,,No,,
0160-8347,12,1989,15,1992,,,No,,
0160-8347,16,1993,19,1996,,,No,,
0160-8347,22,1999,28,2005,,,No,,
0160-8347,,,,,1,2,No,,
0160-8347,,,,,1,2,No,,
0160-8347,,,,,1,,No,,
0425-3396,7,1963,,,,,No,,
0302-3524,16,1983,29,1989,,,No,,
0302-3524,30,1990,,,,,No,,
0302-3524,31,1990,35,1992,,,No,,
0302-3524,36,1993,66,2006,,,No,,
0302-3524,,,,,1,4,No,,
0302-3524,,,,,1,4,No,,
,15,1956,,,,,No,,
0175-7571,25,1996,28,1999,,,No,,
0014-2956,1,1947,181,1989,,,No,,od  2005. izlazi kao: FEBS Journal
0014-2956,182,1989,186,1989,,,No,,od  2005. izlazi kao: FEBS Journal
0014-2956,187,1990,231,1995,,,No,,od  2005. izlazi kao: FEBS Journal
0014-2956,235,1996,271,2004,,,No,,od  2005. izlazi kao: FEBS Journal
0014-2956,,,,,1,,No,,od  2005. izlazi kao: FEBS Journal
0014-2956,,,,,1,,No,,od  2005. izlazi kao: FEBS Journal
0959-8049,5,1969,20,1984,,,No,,
0959-8049,,,,,1,2,No,,
0171-9335,69,1996,78,1999,,,No,,
0035-3019,15,1970,17,1972,,,No,,od vol. 18 (1973) izlazi kao: Biomedicine
0014-2980,30,2000,,,,,No,,
0014-2980,31,2001,38,2008,,,No,,
0014-2980,,,,,1,9,No,,
0926-6917,228,1992,,,,,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,248,1993,,,,,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,270,1994,,,,,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,292,1995,,,,,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,293,1995,,,,,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,,,,,1,3,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,,,,,1,4,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,,,,,1,4,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0926-6917,,,,,1,3,No,,od 1996. godine izlazi kao:  Environmental Toxicology and Pharmacology.
0143-0807,9,1988,,,,,No,,
0143-0807,10,1989,,,,,No,,
0143-0807,35,2014,,,,,No,,
0143-0807,,,,,1,2,No,,
0143-0807,,,,,1,3,No,,
0295-5075,1,1986,32,1995,,,No,,
0295-5075,33,1996,54,2001,,,No,,
0295-5075,55,2001,76,2006,,,No,,
0295-5075,81,2008,88,2009,,,No,,
0295-5075,108,2014,,,,,No,,
0295-5075,109,2015,110,2015,,,No,,
0295-5075,111,2015,,,,,No,,
0295-5075,112,2015,,,,,No,,
0295-5075,113,2016,117,2017,,,No,,
0295-5075,118,2017,,,,,No,,
0295-5075,,,,,1,5,No,,
0295-5075,,,,,1,3,No,,
0295-5075,,,,,1,4,No,,
0295-5075,,,,,1,2,No,,
0531-7479,26,1995,,,,,No,,
0531-7479,27,1996,,,,,No,,
0531-7479,28,1997,,,,,No,,
0531-7479,29,1998,,,,,No,,
0531-7479,30,1999,,,,,No,,
0531-7479,31,2000,,,,,No,,
0531-7479,32,2001,,,,,No,,
0531-7479,33,2002,37,2006,,,No,,
0531-7479,38,2007,39,2008,,,No,,
0531-7479,40,2009,,,,,No,,
0531-7479,,,,,1,3,No,,
0531-7479,,,,,1,6,No,,
0531-7479,,,,,1,6,No,,
0531-7479,,,,,1,,No,,
0531-7479,,,,,1,,No,,
0531-7479,,,,,1,3,No,,
0531-7479,,,,,1,4,No,,
0531-7479,,,,,1,,No,,
0014-4037,61,1993,,,,,No,,
0014-4754,11,1955,14,1958,,,No,,
0014-4819,3,1967,19,1974,,,No,,
0014-4819,21,1974,44,1981,,,No,,
0014-4819,108,1996,129,1999,,,No,,
0014-4827,1,1950,138,1982,,,No,,
0014-4827,150,1984,185,1989,,,No,,
0014-4827,186,1990,247,1999,,,No,,
0014-4827,254,2000,293,2004,,,No,,
0014-4827,,,,,1,,No,,
0014-4827,,,,,1,,No,,
0301-472X,21,1971,,,,,No,,
0301-472X,22,1972,,,,,No,,
0301-472X,1,1973,7,1979,,,No,,
0301-472X,8,1980,,,,,No,,
0301-472X,9,1981,17,1989,,,No,,
0301-472X,18,1990,34,2006,,,No,,
0301-472X,,,,,1,,No,,
0301-472X,,,,,1,7,No,,
0301-472X,,,,,1,8,No,,
0301-5696,8,1973,,,,,No,,
0301-5696,19,1984,,,,,No,,
0301-5696,,,,,8,,No,,
0301-5696,,,,,19,,No,,
,123,1973,156,1996,,,No,,
,21,1979,23,1981,,,No,,
,25,1983,,,,,No,,
0014-9446,1,1942,41,1982,,,No,,
0014-9446,,,,,1,,No,,
0015-0193,22,1978,27,1980,,,No,,
0015-0193,29,1980,34,1981,,,No,,
0015-0193,35,1981,36,1981,,,No,,
0015-0193,58,1984,88,1988,,,No,,
0015-0193,90,1989,95,1989,,,No,,
